Id,OrderAt,StoreId,UserId
2ae04995-871c-4813-8910-ef108718a925,2024-09-2 03:14:55,08e12d18-05a0-4754-8242-e95af61f0bb3,b098b571-b9c6-42ff-a55e-c9ee65c04e64
9b282cc2-27d0-4ae2-b7c0-7f0fde8500e9,2024-09-7 19:51:24,8145b995-0c76-44cc-8e25-d2def2972e0e,ba8c683f-46bd-445c-b740-7818e66f97b6
e448017e-b9d8-44c0-afc8-493595356e9f,2024-10-24 13:56:15,4bda8cb6-c807-4cc4-9cca-dc8fb76f4c8e,8ec8fbf3-8ad9-4536-8da5-1c4c2d39f09b
fc420455-4f84-4b35-82e6-29911515814b,2024-09-16 23:07:52,6fa043ef-2d09-40c2-a441-ca0bbabc97e1,09d20cc4-9bda-4970-a5aa-4d8c6dbadccc
96a18a64-0b02-47f7-9359-284e1d667536,2024-09-23 09:19:35,bba1ce0e-8713-4ad1-ae8d-f29a92ee2937,ba8c683f-46bd-445c-b740-7818e66f97b6
0e009616-58c0-42cc-9a12-b074753f24e1,2024-09-16 05:34:53,8145b995-0c76-44cc-8e25-d2def2972e0e,6757f9b0-a218-462c-bcc1-2c6f9f35d49d
df129ed5-c5b4-42ff-abc6-210b6a156005,2024-09-27 23:23:37,1afabbca-73c8-4836-8560-1931b233bbf3,f662d5b2-09bb-4911-81cc-7e792ba27f62
a5295244-a98a-4d7b-947c-898c2f545be2,2024-09-12 17:32:39,ba5e67de-f996-4019-8de3-adc158645d9e,da4b4781-478e-437a-987a-b5694586c234
383c7f9b-c65f-4dc9-91f3-371f0d1f51db,2024-10-31 10:37:49,05ffdf30-ea4a-4022-90f4-c4b248c26f15,3ca6e5b9-1e28-46d6-8e67-c5746fa72d08
cacbc2f6-efc4-42df-90de-880fe55d92a2,2024-10-9 07:16:46,05ffdf30-ea4a-4022-90f4-c4b248c26f15,3ca6e5b9-1e28-46d6-8e67-c5746fa72d08
