Id,Name,Type,Address
71df12ca-e023-43c8-9695-3d62a6cdda77,던킨도너츠 강서9호점,던킨도너츠,전주 성동구 84길 88
6fa043ef-2d09-40c2-a441-ca0bbabc97e1,던킨도너츠 강서6호점,던킨도너츠,서울 북구 74길 52
05ffdf30-ea4a-4022-90f4-c4b248c26f15,스타벅스 이태원9호점,스타벅스,구미 수성구 140길 40
8145b995-0c76-44cc-8e25-d2def2972e0e,폴바셋 이태원8호점,폴바셋,성남 금천구 158길 145
08e12d18-05a0-4754-8242-e95af61f0bb3,카페베네 강서9호점,카페베네,시흥 사상구 135길 29
4bda8cb6-c807-4cc4-9cca-dc8fb76f4c8e,폴바셋 성수1호점,폴바셋,상주 북구 196길 81
bba1ce0e-8713-4ad1-ae8d-f29a92ee2937,할리스커피 홍대9호점,할리스커피,전주 사상구 23길 24
a77f47bf-2760-4027-9924-5f22a749c9c3,폴바셋 여의도5호점,폴바셋,광주 사하구 190길 5
de9fb79b-03bc-4c4f-aadf-405ec2c25e9e,카페베네 성수3호점,카페베네,평택 사상구 36길 79
ee9f9f5b-fd71-436d-97a3-70826415e88a,카페베네 압구정6호점,카페베네,여수 중구 106길 63
1afabbca-73c8-4836-8560-1931b233bbf3,스타벅스 압구정3호점,스타벅스,문산 금천구 140길 15
4b5400d0-072d-4168-9ee6-4ec473a72b73,카페베네 잠실5호점,카페베네,상주 노원구 85길 83
52b384d7-309a-4f5b-866d-d1e0170a2e2a,폴바셋 홍대5호점,폴바셋,사천 중구 161길 18
ba5e67de-f996-4019-8de3-adc158645d9e,블루보틀 여의도8호점,블루보틀,계룡 동구 60길 30
4fde0804-446c-4688-966f-44d379a56214,블루보틀 명동6호점,블루보틀,광명 유성구 102길 184
4615e142-4f59-48b8-9f23-d2add733151d,폴바셋 명동6호점,폴바셋,이천 서대문구 117길 88
75a69064-4d61-45cf-939b-eb93d82fdb4e,던킨도너츠 송파9호점,던킨도너츠,거제 남구 119길 186
0478f168-04af-4b4f-a06e-35e3b0291e3b,이디야 광화문3호점,이디야,이천 달서구 86길 168
65816cd4-2167-4828-a2bf-45ff9d42d746,할리스커피 여의도1호점,할리스커피,제주 남구 122길 76
a6d495f8-2605-441c-831c-a04d3f3d6235,카페베네 신촌8호점,카페베네,광명 중구 72길 51
