Id,Name,Type,UnitPrice
30b56bbe-4794-4b71-9d44-9d94be295a0f,Red Velvet Cake,Cake,3400
06cef7c1-5ac8-48fa-9c65-c205d9fbcf67,Grape Juice,Juice,5400
ef9a93b3-1976-4735-8148-67e66c5b6610,Americano Coffee,Coffee,6800
2959b2b6-e3bd-4f61-b55e-d3127beea73f,Apple Juice,Juice,5700
30db90ea-807e-4464-8df3-db579d0eab71,Mocha Coffee,Coffee,3000
bb26c4d9-f464-4f8f-8a86-4eff461b7796,Cappuccino Coffee,Coffee,4800
44732692-f840-407a-9f50-457593e2b8c2,Watermelon Juice,Juice,8000
11b4efc5-aaa1-408e-b46a-dff46bc362ba,Mocha Coffee,Coffee,6400
d9632874-f389-4a3f-8ff0-36c2017a3336,Latte Coffee,Coffee,6800
223fef04-7ba3-417b-9efe-cc0788cbc845,Orange Juice,Juice,4000
e94338d0-9fbf-431c-a6b5-cd80d59f128a,Lemon Cake,Cake,3700
c643b961-7aca-4322-a587-0123bcc04970,Watermelon Juice,Juice,4900
632ddec4-93d4-4d2c-9b19-ee57fe8ce912,Espresso Coffee,Coffee,3100
1603c6cf-15b0-45d4-90b5-a9429d77feeb,Cheese Cake,Cake,7600
79d55d86-78cb-4e1c-b509-4898e2949743,Red Velvet Cake,Cake,3800
fa2327ce-03f2-4fe1-9ff8-3e7415732a35,Strawberry Cake,Cake,3400
f7474203-47b0-4f48-9568-60b52ff62005,Grape Juice,Juice,3900
a65a1299-7950-4f47-a149-8798053d3615,Strawberry Cake,Cake,7500
5f6cd9df-380b-4426-bfcb-6a9c612c9314,Cappuccino Coffee,Coffee,3500
f3ccd44d-c35c-42d0-a8d4-a974ab48d22a,Mocha Coffee,Coffee,7400
